,Open Int,time to maturity (years),moneyness,inv_spread
3503,72,0.049315068493150684,0.9583333333333334,4.999999999999996
3497,11,0.049315068493150684,0.9634038800705468,4.999999999999996
3501,20,0.049315068493150684,0.9600175746924429,4.999999999999996
1635,409,0.01643835616438356,0.9860108303249098,4.999999999999996
5705,703,0.07945205479452055,0.9369639794168096,4.999999999999996
3505,16,0.049315068493150684,0.9566549912434326,4.999999999999996
5713,449,0.07945205479452055,0.9337606837606838,4.999999999999996
1633,595,0.01643835616438356,0.9877938517179023,4.999999999999996
3801,20,0.0547945205479452,0.9533158813263525,4.999999999999996
1641,138,0.01643835616438356,0.9807001795332136,4.999999999999996
1637,467,0.01643835616438356,0.9842342342342343,4.999999999999996
3799,20,0.0547945205479452,0.9549825174825175,4.999999999999996
3795,12,0.0547945205479452,0.9583333333333334,4.999999999999996
2397,903,0.030136986301369864,0.9702486678507993,4.999999999999996
2049,6719,0.021917808219178082,0.9668141592920354,4.999999999999996
1291,1011,0.0136986301369863,0.9931818181818182,4.999999999999996
2403,356,0.030136986301369864,0.9651060070671378,4.999999999999996
3167,543,0.0410958904109589,0.9533158813263525,4.999999999999996
3159,278,0.0410958904109589,0.9600175746924429,4.999999999999996
1297,1279,0.0136986301369863,0.9877938517179023,4.999999999999996
4213,170,0.06027397260273973,0.9369639794168096,4.999999999999996
2395,83,0.030136986301369864,0.9719750889679716,4.999999999999996
3165,1383,0.0410958904109589,0.9549825174825175,4.999999999999996
1295,163,0.0136986301369863,0.9895833333333334,4.999999999999996
2391,447,0.030136986301369864,0.9754464285714286,4.999999999999996
2389,191,0.030136986301369864,0.9771914132379249,4.999999999999996
