,Open Int,time to maturity (years),moneyness
4335,1,0.0684931506849315,1.0990945674044266
6825,15,0.11506849315068493,1.0990945674044266
10317,17,0.36712328767123287,1.0990945674044266
4041,4,0.06027397260273973,1.0990945674044266
2615,6,0.03561643835616438,1.0990945674044266
3015,4,0.0410958904109589,1.0990945674044266
5361,3,0.07945205479452055,1.0990945674044266
6439,2,0.09863013698630137,1.0968875502008033
8183,1,0.17534246575342466,1.0968875502008033
4043,3,0.06027397260273973,1.0968875502008033
3359,1,0.049315068493150684,1.0968875502008033
2617,22,0.03561643835616438,1.0968875502008033
559,178,0.0027397260273972603,1.0968875502008033
10955,613,0.5972602739726027,1.0968875502008033
8807,5,0.20273972602739726,1.0968875502008033
3017,13,0.0410958904109589,1.0968875502008033
2269,1,0.030136986301369864,1.0968875502008033
5365,10,0.07945205479452055,1.0968875502008033
6827,55,0.11506849315068493,1.0968875502008033
1187,1,0.0136986301369863,1.0968875502008033
5369,1,0.07945205479452055,1.094689378757515
563,70,0.0027397260273972603,1.094689378757515
3019,2,0.0410958904109589,1.094689378757515
3653,1,0.0547945205479452,1.094689378757515
6829,38,0.11506849315068493,1.094689378757515
8191,3,0.17534246575342466,1.0925
11729,18,0.873972602739726,1.0925
567,206,0.0027397260273972603,1.0925
4047,114,0.06027397260273973,1.0925
10087,112,0.3287671232876712,1.0925
3021,165,0.0410958904109589,1.0925
1919,65,0.021917808219178082,1.0925
10959,179,0.5972602739726027,1.0925
7465,750,0.15616438356164383,1.0925
10323,502,0.36712328767123287,1.0925
8809,93,0.20273972602739726,1.0925
6831,3403,0.11506849315068493,1.0925
11531,165,0.8465753424657534,1.0925
5373,12,0.07945205479452055,1.0925
6441,6,0.09863013698630137,1.0925
2621,752,0.03561643835616438,1.0925
11159,2365,0.6164383561643836,1.0925
7145,750,0.136986301369863,1.0925
9739,47,0.2876712328767123,1.0925
4341,200,0.0684931506849315,1.0925
4049,31,0.06027397260273973,1.090319361277445
2623,1,0.03561643835616438,1.090319361277445
571,11,0.0027397260273972603,1.090319361277445
1921,4,0.021917808219178082,1.090319361277445
6833,26,0.11506849315068493,1.090319361277445
4343,1,0.0684931506849315,1.090319361277445
3023,1,0.0410958904109589,1.090319361277445
5377,4,0.07945205479452055,1.090319361277445
3657,1,0.0547945205479452,1.090319361277445
4051,5,0.06027397260273973,1.0881474103585658
5381,3,0.07945205479452055,1.0881474103585658
3025,2,0.0410958904109589,1.0881474103585658
575,42,0.0027397260273972603,1.0881474103585658
4345,1,0.0684931506849315,1.0881474103585658
8811,2,0.20273972602739726,1.0881474103585658
6835,60,0.11506849315068493,1.0881474103585658
8199,1,0.17534246575342466,1.0881474103585658
1923,3,0.021917808219178082,1.0881474103585658
2625,31,0.03561643835616438,1.0881474103585658
2275,3,0.030136986301369864,1.0881474103585658
4053,2,0.06027397260273973,1.0859840954274353
3661,2,0.0547945205479452,1.0859840954274353
6837,20,0.11506849315068493,1.0859840954274353
2627,1,0.03561643835616438,1.0859840954274353
3027,2,0.0410958904109589,1.0859840954274353
579,5,0.0027397260273972603,1.0859840954274353
8203,47,0.17534246575342466,1.0859840954274353
1925,5,0.021917808219178082,1.0859840954274353
5385,3,0.07945205479452055,1.0859840954274353
10331,20,0.36712328767123287,1.0838293650793651
5389,5,0.07945205479452055,1.0838293650793651
2629,128,0.03561643835616438,1.0838293650793651
1927,170,0.021917808219178082,1.0838293650793651
1199,2,0.0136986301369863,1.0838293650793651
8813,2,0.20273972602739726,1.0838293650793651
3029,27,0.0410958904109589,1.0838293650793651
4055,7,0.06027397260273973,1.0838293650793651
6445,161,0.09863013698630137,1.0838293650793651
8207,1,0.17534246575342466,1.0838293650793651
583,32,0.0027397260273972603,1.0838293650793651
9353,31,0.25205479452054796,1.0838293650793651
7473,1,0.15616438356164383,1.0838293650793651
6839,114,0.11506849315068493,1.0838293650793651
6841,1401,0.11506849315068493,1.0816831683168318
2631,526,0.03561643835616438,1.0816831683168318
10963,27,0.5972602739726027,1.0816831683168318
11161,712,0.6164383561643836,1.0816831683168318
587,35,0.0027397260273972603,1.0816831683168318
3665,1,0.0547945205479452,1.0816831683168318
6447,3,0.09863013698630137,1.0816831683168318
8815,2,0.20273972602739726,1.0816831683168318
7151,1,0.136986301369863,1.0816831683168318
5393,15,0.07945205479452055,1.0816831683168318
9741,24,0.2876712328767123,1.0816831683168318
